A_x,A_y,A_z,G_x,G_y,G_z,C_1
0.5041249999999999,0.49625,0.4943749999999999,0.50085625,0.51148125,0.50234375,0.4120159876543097
0.497125,0.5001249999999999,0.49375,0.49366875,0.5111312499999999,0.5041,0.4074377558993486
0.51225,0.4957499999999999,0.472625,0.46515625,0.5033187499999999,0.492575,0.5105261908110542
0.5197499999999999,0.487625,0.518,0.49636875,0.4961312499999999,0.51078125,0.5093479590560931
0.509,0.502375,0.514875,0.51116875,0.49640625,0.5083187499999999,0.5089030606344652
0.50075,0.485625,0.5091249999999999,0.53449375,0.50203125,0.50429375,0.5082914955461708
0.5117499999999999,0.4786249999999999,0.51075,0.5612125,0.50671875,0.506175,0.5080132637912097
0.517875,0.4982499999999999,0.5195000000000001,0.5882437500000001,0.5211312499999999,0.5109375,0.5073016987029153
0.51775,0.49175,0.5265,0.56453125,0.54773125,0.53328125,0.5066901336146208
0.497625,0.501125,0.506,0.5066812500000001,0.5641375,0.56168125,0.5075119018596597
0.4805,0.498,0.4934999999999999,0.47546875,0.55523125,0.5798062500000001,0.5068003367713653
0.499625,0.519625,0.515,0.5271875,0.53445625,0.53046875,0.5073887716830708
0.4982499999999999,0.492375,0.507375,0.4684,0.54125,0.54035,0.5076105399281097
0.5035000000000001,0.485125,0.509,0.4690625,0.5368375000000001,0.5450375,0.5072656415064819
0.522375,0.5155000000000001,0.51275,0.46578125,0.53480625,0.54640625,0.5076874097515208
0.52525,0.507125,0.524125,0.4086312499999999,0.5466,0.5530062499999999,0.5060758446632263
0.52025,0.483875,0.52725,0.4008625,0.5553125,0.56359375,0.5062309462415986
0.5193749999999999,0.46125,0.53525,0.41625,0.56148125,0.58195,0.5064860478199708
0.5502499999999999,0.4978749999999999,0.473125,0.35508125,0.4837125,0.315625,0.5058744827316763
0.564875,0.4756249999999999,0.46975,0.32359375,0.49328125,0.32140625,0.5057295843100486
0.5665,0.446,0.47225,0.33324375,0.50738125,0.33035,0.5061513525550875
0.542375,0.422875,0.477125,0.38918125,0.51296875,0.35546875,0.5059397874667619
0.509,0.431125,0.49375,0.47636875,0.4962125,0.40761875,0.5058282223784675
0.4974999999999999,0.457125,0.502625,0.4947249999999999,0.48351875,0.46230625,0.5067499906235065
0.4942499999999999,0.451625,0.50625,0.43859375,0.48715,0.4978499999999999,0.5076050922018787
0.491,0.4358749999999999,0.51225,0.42851875,0.4906624999999999,0.5153875,0.5070935271135841
0.4987499999999999,0.440375,0.51875,0.47195,0.49043125,0.526875,0.5066486286919564
0.509625,0.4706249999999999,0.51325,0.51363125,0.49511875,0.54199375,0.5065370636036619
0.504625,0.489125,0.504375,0.5103875,0.500275,0.55984375,0.5058588318487008
0.4995,0.4988749999999999,0.498625,0.49805,0.5021875,0.56203125,0.5051806000937398
0.503125,0.502,0.4875,0.499025,0.50125,0.54366875,0.5045690350054453
0.504,0.51075,0.4805,0.495625,0.4978125,0.52605625,0.5043908032504841
0.4974999999999999,0.508375,0.4782499999999999,0.4965625,0.49519375,0.5072249999999999,0.5019792381621897
0.503375,0.502625,0.47775,0.50828125,0.4925,0.488475,0.5024010064072286
0.50975,0.5045,0.4756249999999999,0.5168375000000001,0.49085625,0.47636875,0.5031561079856008
0.504875,0.5015,0.4785,0.50859375,0.48914375,0.47456875,0.503211209563973
0.495125,0.491375,0.4832499999999999,0.5087875,0.48480625,0.47793125,0.5048663111423453
0.504875,0.4875,0.486,0.5214875,0.48449375,0.4771875,0.5042547460540509
0.5,0.488875,0.488875,0.5162125000000001,0.48945625,0.4768375,0.503209847632423
0.502875,0.4858749999999999,0.4983749999999999,0.4971125,0.48976875,0.4847687499999999,0.5027982825441286
0.4997499999999999,0.477375,0.505875,0.48875,0.49116875,0.4970687499999999,0.5001687962962625
0.50175,0.4765,0.50975,0.50206875,0.4919125,0.50706875,0.500037708626315
0.4983749999999999,0.484375,0.5125,0.5178499999999999,0.495625,0.5144937500000001,0.5000399542897008
0.498125,0.4945,0.50875,0.51359375,0.5000374999999999,0.5166375,0.4995088666197533
0.494875,0.495125,0.506375,0.505,0.50418125,0.5129312500000001,0.5000777789498059
0.498125,0.4957499999999999,0.501,0.49886875,0.5068375,0.5083187499999999,0.4999800246131917
0.496625,0.495375,0.496625,0.4935125,0.506875,0.50761875,0.4997489369432442
0.497,0.4945,0.494125,0.49519375,0.50453125,0.5078499999999999,0.4999178492732967
0.502375,0.493125,0.494875,0.5068,0.5005875000000001,0.50543125,0.4997534282700158
0.50125,0.496625,0.492125,0.50988125,0.49789375,0.50539375,0.4999223406000683
0.504,0.497625,0.495125,0.51085625,0.4942562499999999,0.50601875,0.4996912529301209
0.497625,0.499,0.49725,0.5094937500000001,0.4924625,0.50601875,0.4991934985935067
0.501125,0.4983749999999999,0.5,0.51445,0.49078125,0.50206875,0.4992957442568615
0.50125,0.499125,0.5015,0.514375,0.49195,0.49668125,0.4994313232535807
0.50225,0.4974999999999999,0.503,0.51054375,0.49328125,0.495,0.5000335689169665
0.5001249999999999,0.493375,0.505375,0.51043125,0.4940625,0.49581875,0.4998691479136857
0.4995,0.49325,0.50525,0.51328125,0.49546875,0.49851875,0.4999713935770715
0.50075,0.494625,0.50275,0.5129312500000001,0.4987874999999999,0.500625,0.5006736392404574
0.50175,0.4952499999999999,0.5005,0.51238125,0.50136875,0.50046875,0.5003758849038432
0.502125,0.4965,0.4987499999999999,0.50965,0.5027750000000001,0.5007,0.4996447972338957
0.499625,0.4965,0.497,0.50175625,0.50425625,0.50363125,0.5004470428972816
0.499125,0.495625,0.4965,0.50215,0.50375,0.50633125,0.5002492885606674
0.4985,0.4985,0.495125,0.50605625,0.5012125000000001,0.50765625,0.5005515342240532
0.499125,0.4997499999999999,0.495625,0.5062875,0.49949375,0.506175,0.5010204465541057
0.4997499999999999,0.5025000000000001,0.4955,0.5065999999999999,0.4984749999999999,0.50293125,0.5005226922174916
0.5,0.50225,0.497,0.5040625,0.4969125,0.5016375,0.5005249378808774
0.502,0.502125,0.4978749999999999,0.50206875,0.49543125,0.500975,0.50049385021093
0.5005,0.50125,0.499625,0.5007,0.4949625,0.49976875,0.5007627625409824
0.501,0.500625,0.502,0.49984375,0.4947249999999999,0.49789375,0.5000650082043683
0.5015,0.50125,0.504875,0.4949625,0.49703125,0.497425,0.4999005872010874
0.501125,0.4952499999999999,0.505,0.48640625,0.5000374999999999,0.4984749999999999,0.5005028328644733
0.50075,0.492125,0.503125,0.49445,0.499725,0.49800625,0.4998050785278591
0.50175,0.4952499999999999,0.501875,0.5062125000000001,0.4986312499999999,0.4964874999999999,0.5003406575245782
0.502,0.4957499999999999,0.5025000000000001,0.50855625,0.49875,0.4958625,0.4996762365212974
0.4992499999999999,0.4988749999999999,0.500625,0.5066812500000001,0.50055,0.49769375,0.4998118155180166
0.499875,0.498,0.5005,0.50105625,0.50109375,0.4992562499999999,0.5002140611814024
0.4992499999999999,0.497375,0.499,0.4993375,0.5015625,0.49855625,0.5000829735114549
0.5002500000000001,0.497625,0.4988749999999999,0.49883125,0.5016375,0.4989437499999999,0.5001518858414764
0.499625,0.49775,0.498,0.49671875,0.5015999999999999,0.5003875,0.5001541315048622
0.5002500000000001,0.497125,0.499125,0.4987125,0.4994125,0.500275,0.5004897105015814
0.499375,0.4978749999999999,0.4997499999999999,0.5,0.49859375,0.50105625,0.5005718518518842
0.4992499999999999,0.4988749999999999,0.501375,0.49965,0.4989437499999999,0.501525,0.5004397585560567
0.5025000000000001,0.5001249999999999,0.501,0.49831875,0.4998812499999999,0.50046875,0.5005076652602293
0.5005,0.498,0.50175,0.49668125,0.5000374999999999,0.499375,0.5003422386310684
0.5,0.4978749999999999,0.502,0.5028125,0.49890625,0.4990625,0.5006434786685743
0.501,0.4987499999999999,0.502875,0.50398125,0.5007,0.4977375,0.5004780520394134
0.501875,0.5005,0.501875,0.49875,0.50465,0.4981624999999999,0.4998459587435859
0.500875,0.497625,0.499875,0.49023125,0.5062125000000001,0.50136875,0.4997471987810917
0.4992499999999999,0.496,0.4978749999999999,0.4959375,0.5049625,0.501325,0.4996817721518998
0.4988749999999999,0.4983749999999999,0.4985,0.50148125,0.503825,0.50046875,0.4989496788560723
0.5,0.5015,0.49775,0.49851875,0.503825,0.50199375,0.4992842522269115
0.4992499999999999,0.4992499999999999,0.498,0.49328125,0.50300625,0.50375,0.4990854922644173
0.4997499999999999,0.502125,0.4978749999999999,0.49429375,0.5023062500000001,0.50293125,0.4996867323019231
0.500375,0.500625,0.4995,0.4916,0.5009,0.5012875,0.4999213056727623
0.5,0.501375,0.5,0.49300625,0.4998812499999999,0.4989437499999999,0.4996892123769348
0.500875,0.4995,0.501375,0.49386875,0.49875,0.4984,0.4999571190811073
0.500875,0.4987499999999999,0.501875,0.49824375,0.49726875,0.4965625,0.4996250257852798
0.50075,0.4985,0.503375,0.50144375,0.49765625,0.4937125,0.4993929324894522
0.5001249999999999,0.4974999999999999,0.50325,0.500975,0.4993375,0.4917562499999999,0.5000941725269581
0.501,0.4957499999999999,0.502625,0.49914375,0.5005062499999999,0.492575,0.4995287458977972
0.50075,0.494125,0.50075,0.4987874999999999,0.50148125,0.49539375,0.5000966526019698
0.5005,0.494875,0.5001249999999999,0.50046875,0.5009,0.49831875,0.4996312259728089
0.5002500000000001,0.4952499999999999,0.4995,0.5007,0.500975,0.50085625,0.5000991326769814
0.500875,0.497,0.499125,0.50015625,0.5012125000000001,0.50285,0.4996003727144872
0.501875,0.497375,0.4987499999999999,0.4989437499999999,0.50109375,0.5038687500000001,0.500401612751962
0.501625,0.496875,0.4992499999999999,0.50148125,0.49991875,0.50425625,0.5004695194561345
0.499875,0.4997499999999999,0.5,0.50570625,0.4993,0.50456875,0.5007040928269737
0.5005,0.50325,0.4997499999999999,0.5033187499999999,0.5007,0.50453125,0.5009053328644795
0.5001249999999999,0.502,0.4985,0.4977375,0.50136875,0.50535,0.5006065729019853
0.504625,0.501625,0.497125,0.49921875,0.4984749999999999,0.50515625,0.5010744796061578
0.502,0.5002500000000001,0.5,0.507425,0.49640625,0.50046875,0.5001757196436636
0.499,0.5035000000000001,0.50225,0.5124625,0.49769375,0.49543125,0.5001769596811695
0.499375,0.50525,0.501375,0.504375,0.50109375,0.4968375,0.5004781997186752
